recordId,merchantId,merchantName,network,mainCategory,subCategory,mainCategoryCn,subCategoryCn,mainCategoryBsr,subcategoryBsr,asin
"rec27wXzrFq0Ml","384980","WYBOT","Levanta","Patio, Lawn & Garden","Robotic Pool Cleaners","庭院 / 草坪 / 花园","泳池清洁机器人","","",""
"rec27wXzrFpLWT","380558","hOmeLabs","Levanta","Home & Kitchen","Dehumidifiers","家居","家用电器","8102","16","B0D1HMXQTB"
"rec27wXzrFpU3h","362142","oneisall","Levanta","Pet Supplies","Dog Grooming Clippers","宠物用品","宠物美容工具","420","1","B01HRSZRXM"
"rec27wXzrFpYbp","369276","Queen of Thrones","Levanta","Health & Household","Herbal Care","健康家居","草本护理","","","B085RD1SZ8"
"rec27wXzrFq1oa","362543","3W","Levanta","Automotive","Floor Mats","汽车用品","汽车脚垫","","",""
"rec27wXzrFpOrc","363396","Designs for Health","Levanta","Health & Household","Charcoal Nutritional Supplements","健康家居","专业膳食补剂","21830","38","B00T2V4X6C"
"rec27wXzrFpT76","385514","QUINEAR","Levanta","Health & Household","Electric Foot Massagers","健康家居","按摩理疗/运动恢复","","27",""
"rec27wXzrFpURH","362146","ETENWOLF","Levanta","Sports & Outdoors","Camping Lanterns","运动户外","户外装备","","98","B083R336VM"
"rec27wXzrFq05m","362602","Productech","Levanta","Electronics","Consumer Electronics & Accessories","电子","消费电子与配件","","",""
"rec27wXzrFq1iP","362493","DR Vitamin Solutions","Levanta","Health & Household","Vitamins & Dietary Supplements","健康家居","维生素与膳食补充剂","","",""
"rec27wXzrFpO0d","380546","PetLab Co","Levanta","Pet Supplies","Dog Itch Remedies","宠物用品","宠物保健品","330","3","B0C1HNMSGP"
"rec27wXzrFpOHm","362621","Sports Research & Sweet Sweat","Levanta","Health & Household","Vitamin D3 & K2 Combinations","健康家居","运动营养补剂","41","1","B07NXW4GW7"
"rec27wXzrFpWcA","363380","Ulike","Levanta","Beauty & Personal Care","Beauty Devices","个护美妆","美容仪","","","B0CV3ZJ2PN"
